Timestamp	Filename	Error	Message
2012-12-07 10:48:03.971 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:50:03.339 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:50:03.369 +0700	trial_nextHandler	0	script steps imported : 1
2012-12-07 10:50:03.376 +0700	Setup.fmp12	0	Import completed
2012-12-07 10:59:36.821 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 10:59:36.862 +0700	trial_nextHandler	0	script steps imported : 2
2012-12-07 10:59:36.884 +0700	Setup.fmp12	0	Import completed
2012-12-07 11:00:25.378 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 11:00:25.405 +0700	trial_nextHandler	0	script steps imported : 1
2012-12-07 11:00:25.412 +0700	Setup.fmp12	0	Import completed
2012-12-07 11:18:31.615 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 11:18:31.640 +0700	trial_nextHandler	0	script steps imported : 3
2012-12-07 11:18:31.671 +0700	Setup.fmp12	0	Import completed
2012-12-07 11:20:11.119 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 11:20:11.140 +0700	trial_nextHandler	0	script steps imported : 1
2012-12-07 11:20:11.147 +0700	Setup.fmp12	0	Import completed
2012-12-07 11:29:51.116 +0700	Setup.fmp12	0	Import of script steps from clipboard started
2012-12-07 11:29:51.141 +0700	trial_nextHandler	0	script steps imported : 3
2012-12-07 11:29:51.147 +0700	Setup.fmp12	0	Import completed
